sample	matching_variants	wt_variants	variants_in_scheme	variants_missing	variants_multiple_cov
R169_S18.fna	0	26	27	1	0
R174_S19.fna	0	27	27	0	0
R176_S20.fna	0	26	27	1	0
R177_S21.fna	0	27	27	0	0
R178_S22.fna	0	26	27	0	1
R179_S23.fna	0	26	27	1	0
R180_S24.fna	0	26	27	1	0
R181_S25.fna	0	26	27	1	0
R182_S1.fna	0	27	27	0	0
R183_S2.fna	0	25	27	1	0
R184_S3.fna	0	26	27	1	0
R185_S4.fna	0	27	27	0	0
R186_S5.fna	0	27	27	0	0
R187_S6.fna	0	27	27	0	0
R188_S7.fna	0	26	27	1	0
R189_S1.fna	0	26	27	1	0
R190_S8.fna	0	27	27	0	0
R191_S9.fna	0	27	27	0	0
R192_S2.fna	0	27	27	0	0
R193_S10.fna	0	27	27	0	0
R194_S11.fna	0	26	27	1	0
R195_S12.fna	0	27	27	0	0
R196_S13.fna	0	27	27	0	0
R197_S14.fna	0	27	27	0	0
R198_S15.fna	27	0	27	0	0
R199_S16.fna	27	0	27	0	0
R201_S17.fna	0	27	27	0	0
R202_S3.fna	0	27	27	0	0
R203_S4.fna	0	27	27	0	0
R204_S26.fna	0	27	27	0	0
R205_S27.fna	0	26	27	1	0
R206_S18.fna	0	27	27	0	0
R207_S19.fna	0	25	27	2	0
R208_S20.fna	0	26	27	1	0
R209_S5.fna	0	27	27	0	0
R210_S21.fna	0	27	27	0	0
R211_S22.fna	0	26	27	1	0
R212_S6.fna	0	27	27	0	0
R213_S28.fna	0	27	27	0	0
R214_S29.fna	0	27	27	0	0
R215_S30.fna	0	27	27	0	0
R216_S31.fna	0	27	27	0	0
R217_S32.fna	0	27	27	0	0
R219_S7.fna	0	26	27	1	0
R220_S33.fna	0	27	27	0	0
R221_S34.fna	0	23	27	3	1
R222_S8.fna	0	27	27	0	0
R223_S9.fna	0	27	27	0	0
R224_S35.fna	0	27	27	0	0
R225_S10.fna	0	27	27	0	0
R226_S36.fna	0	27	27	0	0
R227_S11.fna	0	27	27	0	0
R228_S37.fna	0	26	27	1	0
R229_S12.fna	0	27	27	0	0
R41_S10.fna	0	27	27	0	0
R42_S11.fna	0	27	27	0	0
R43_S12.fna	0	27	27	0	0
R44_S13.fna	0	27	27	0	0
R48_S14.fna	0	25	27	1	0
R49_S15.fna	0	27	27	0	0
R51_S16.fna	0	26	27	0	1
R52_S17.fna	0	23	27	3	1
R54_S18.fna	27	0	27	0	0
R58_S19.fna	0	27	27	0	0
R59_S20.fna	0	27	27	0	0
R60_S21.fna	0	27	27	0	0
R61_S22.fna	0	26	27	1	0
R62_S5.fna	0	26	27	1	0
R67_S6.fna	0	25	27	1	0
R68_S7.fna	0	27	27	0	0
R69_S8.fna	0	27	27	0	0
R70_S9.fna	0	27	27	0	0
R72_S10.fna	0	27	27	0	0
R73_S11.fna	0	27	27	0	0
R76_S13.fna	0	27	27	0	0
R77_S14.fna	0	27	27	0	0
R78_S15.fna	0	27	27	0	0
R79_S16.fna	27	0	27	0	0
R80_S17.fna	0	27	27	0	0
R81_S18.fna	0	27	27	0	0
R82_S19.fna	0	27	27	0	0
R84_S20.fna	0	27	27	0	0
R85_S21.fna	0	27	27	0	0
R86_S22.fna	0	27	27	0	0
R87_S23.fna	0	26	27	1	0
R88_S24.fna	0	26	27	1	0
R90_S25.fna	0	26	27	0	1
R91_S26.fna	0	27	27	0	0
R92_S27.fna	0	27	27	0	0
R93_S29.fna	0	27	27	0	0
R94_S30.fna	0	26	27	1	0
R95_S31.fna	0	27	27	0	0
R96_S32.fna	0	27	27	0	0
R98_S33.fna	0	25	27	1	0

